id,type,shortCode,caption,commentsCount,likesCount,timestamp,ownerUsername,url
3588256747718367620,Sidecar,DHMDIAqptmE,"Last night, Earth witnessed a lunar eclipse. Swipe to see it from the Moon’s perspective!⁣
 ⁣
On March 13-14, 2025, the Earth passed directly between the Sun and the Moon. Earth cast its shadow, turning the Moon’s typically gray and cratered surface red, aka a “Blood Moon.”⁣
 ⁣
While @NASAGlenn was looking up, @fireflyaerospace’s Blue Ghost lunar lander was looking back. Blue Ghost saw Earth block the Sun. From that perspective, this celestial event was a solar eclipse. It created a striking “diamond ring” effect in the sky.⁣
 ⁣
These images are a clear reminder that often, what you see depends on your point of view.⁣
 ⁣
Image descriptions:⁣
1. The lunar eclipse as seen above the Space Environments Complex at NASA’s Glenn Research Center at Neil Armstrong Test Facility in Sandusky, Ohio, during the early hours of March 14, 2025. A white to orange to red gradient sweeps across the Moon from the top left to the bottom right of its full disc. Credit: NASA/Sara Lowthian-Hanna⁣
 ⁣
2. The solar eclipse as seen from the surface of the Moon in Mare Crisium by the Blue Ghost Mission 1 lander. The Sun’s corona shines as a bright circle around the dark disc of the Earth. A “diamond ring” flare glows at the five o’clock position against the darkness of space. Credit: Firefly Aerospace⁣
 ⁣
#BloodMoon #Eclipse #LunarEclipse #SolarEclipse #CLPS #GhostRidersInTheSky #Space #NASA",3538,1635091,2025-03-14T17:32:39.000Z,nasa,https://www.instagram.com/p/DHMDIAqptmE/
3617149101753505462,Sidecar,DIysfGNpBa2,"One telescope. Nearly 1.7 million observations. Thirty-five years – and counting. 
 
In celebration of the Hubble Space Telescope’s April 24 launch anniversary, we’re sharing new images from the famous observatory. 
 
From within our home solar system, to stunning nebulae found in interstellar space, to a far-flung galaxy, these anniversary images are a reminder of Hubble’s impact on every area of astronomy. 
 
Since its launch in 1990, the Hubble mission has fundamentally changed the way we understand our universe. Its impactful discoveries and iconic images make it a scientific and cultural icon. 
 
Hubble’s powerful and unique vision – spanning ultraviolet, visible, and near-infrared wavelengths – continues to unlock cosmic mysteries. In fact, its astronomical achievements have resulted in over 22,000 scientific papers and over 1.3 million citations as of February 2025. 
 
At 35 years old, Hubble remains a scientific powerhouse. Here’s to more discovery ahead! 
 
You can find out more about these anniversary images at the link in @NASAHubble’s bio. Find image descriptions and photo credits in the comments. 
 
#NASA #ESA #Hubble35 #Hubble #Space #Science #Astronomy #Stars",675,385394,2025-04-23T14:16:36.000Z,nasa,https://www.instagram.com/p/DIysfGNpBa2/
3591395271650510518,Video,DHXMvi2vwa2,"A picture perfect splashdown 🌊
 
Welcome home, #Crew9! NASA’s SpaceX Crew-9 mission carrying @nasaastronauts Butch Wilmore, Suni Williams, Nick Hague, and Roscosmos cosmonaut Aleksandr Gorbunov splashed down off the coast of Florida near Tallahassee at 5:57 pm EDT (2157 UTC).

After a long-duration science expedition aboard the @iss, the crew completed hundreds of science experiments and technological demonstrations that will benefit humanity, and prepare us for future deep space missions.
 
Video description: Framed by a light blue sky and tranquil azure sea, the SpaceX Dragon Freedom spacecraft is seen descending. It is suspended by four large orange-and-white parachutes. The drone capturing this footage tracks to the right as the capsule touches the surface of the water, and its chutes follow gracefully.
 
Credit: NASA/SpaceX
 
#astronauts #splashdown #parachute #WelcomeHome #NASA #Roscosmos #SpaceX",4979,767581,2025-03-19T01:29:06.000Z,nasa,https://www.instagram.com/p/DHXMvi2vwa2/
3474590279575928021,Image,DA4OXM6JfzV,"Diaries from an astronaut ✍️⁣
 ⁣
NASA astronaut Matthew Dominick reflects on his last few days on the International Space Station (@ISS) before his return, as the undocking for #Crew8 was rescheduled for no earlier than Oct. 13, due to potential impacts from Hurricane #Milton.⁣
 ⁣
“Peering out a Dragon Endeavor window that frames red and green aurora streaming by Dragon Freedom docked to the front of the International Space Station. When Crew-9 arrived, I moved out of my crew quarters on the ISS to make room for @AstroHague.⁣
 ⁣
I now sleep in Dragon Endeavor while we wait to undock. We take most of our images from the cupola, but sleeping here has been amazing. This is the view out the window this evening. ...⁣
 ⁣
I miss my family and friends, but we would have missed today’s insane aurora if we had undocked today. I watched the aurora with Don Pettit today from the cupola and on a later pass I watched it from Endeavor with @AstroHague.”⁣
 ⁣
Image description: A window from the Dragon Endeavour, docked on the ISS, peers over Earth. A marbling of clouds is seen from below a vivid green aurora; shades of magenta hover above it in a distance. In contrast, the left half of the window is lit in blue.⁣
 ⁣
Credit: NASA/Matthew Dominick⁣
 ⁣
#NASA #Space #ISS #InternationalSpaceStation #Aurora #Earth #Astronaut",3644,1445309,2024-10-08T21:37:40.000Z,nasa,https://www.instagram.com/p/DA4OXM6JfzV/
3616444956353948748,Video,DIwMYbtOuxM,"Our muse, Earth 🌎 
 
We study our home planet like no one else. For more than 60 years, we’ve been observing Earth from land, air, and space, building our scientific capabilities to better understand the Earth system and how it works. 
 
@NASAEarth science missions help us respond to challenges—such as fires, hurricanes, and water shortages—by putting actionable data in the hands of decisionmakers. NASA satellites, airborne projects, and  programs help local, federal, and international governments as they support their communities. 
 
Exploring the significance of our home empowers our journey to the cosmos and beyond.  
 
Credit: NASA/Shane Apple 
 
#NASA #Space #EarthDay2025 #EarthDay #POV #Science #Missions #Journeys",479,71991,2025-04-22T14:58:58.000Z,nasa,https://www.instagram.com/p/DIwMYbtOuxM/
3612161735415652079,Image,DIg-fXWtV7v,"Can we get an encore?

A planetary nebula located just 4,600 light-years away in the Milky Way galaxy puts on a spectacular display at the end of a giant star's life. The image itself was the final work of one of @NASAHubble's instruments: the Wide Field and Planetary Camera 2 (WFPC2). First installed in 1993, the WFPC2 was replaced in 2009 by the Wide Field Camera 3 during Hubble’s final servicing mission.

The swirling, paint-like clouds in the darkness of space are clouds of ionized atoms thrown into space by a dying star. Its red giant star had exhausted its available fuel and shed its last layers of gas, enabling nuclear fusion as its compact core begins to contract further. The exposed core reaches extremely hot temperatures, radiating ultraviolet light that energizes the enormous clouds of gas cast off by the star. 

In this image, red and orange indicate nitrogen, green is hydrogen, and blue shows oxygen. The spectacle is bittersweet, as the brief phase of fusion in the core will end after only tens of thousands of years, leaving a white dwarf that will never illuminate the clouds around it again.

Image description: A glowing, jagged ring encircles a small central region of greenish clouds, making it appear like a hole torn in fabric. This “hole” is itself encircled by a band of silvery-blue clouds and a larger, fainter, yellow ring of gas. Puffy, smoky clouds of orange and red gas billow out from there into a large oval nebula, fading into the dark background of space dotted by stars.

Credit: @EuropeanSpaceAgency/Hubble & NASA, K. Noll

#NASA #Space #Hubble #MilkyWay #Stars #Nebula #Encore #Telescope",820,341527,2025-04-16T17:07:35.000Z,nasa,https://www.instagram.com/p/DIg-fXWtV7v/
3612851553687282645,Image,DIjbVirv6PV,"That’s one speedy spud 🥔⁣
⁣
@NASAHubble took 13 separate exposures over 22 minutes to create this time-lapse image of tiny, potato-shaped moon Phobos (at left) orbiting around Mars. Phobos is so small that it looks like a star in these Hubble photos.⁣
⁣
This little tater is fast, though: Phobos orbits Mars in just 7 hours and 39 minutes, which is faster than Mars rotates. The moon’s orbit is very slowly shrinking, meaning it will eventually – as in, 50 million years from now – break up under Mars’ gravitational pull, or crash onto the planet.⁣
⁣
Poor little Phobos has already been battered: it was nearly shattered by a giant impact, and has gouges from thousands of meteorite impacts.⁣
⁣
Here are a few more fun facts about Phobos:⁣
- It has no atmosphere.⁣
- It’s the larger of Mars’ two moons. The other moon is called Deimos.⁣
- The fine dust on Phobos’ surface cannot retain heat.⁣
⁣
Image description: Tiny moon Phobos travels behind Mars in this image. The moon appears multiple times, since this is a time-lapse photo. Phobos is a small silvery dot here. Mars dominates the photos. Mars is mostly red-orange, with dark blotches and silvery wisps all around its edges.⁣
⁣
Credit: NASA, ESA, and Z. Levay (STScI)⁣
⁣
#NASA #Mars #Moon #Phobos #Astronomy #Potato",650,287557,2025-04-17T15:58:16.000Z,nasa,https://www.instagram.com/p/DIjbVirv6PV/
3611513165648987714,Image,DIerBbsJ4ZC,"Livin' life in low Earth orbit 

For nearly 25 years, @NASAAstronauts have been living and working aboard the International Space Station. Some have only stayed for a few days, while some have lived in space for over a year at a time. (Astronaut Frank Rubio holds the NASA record, with a 371-day stay.) Some have traveled to the @ISS several times, while some are making their first visit—like NASA's Nichole Ayers, seen here opening the hatch to the station's Kibo laboratory. Ayers launched to the station on NASA's SpaceX Crew-10 mission, which lifted off from @NASAKennedy on March 14.

The International Space Station is an orbiting laboratory, built to help us learn how to live in space while making life better back on Earth. We work with crew members and researchers from around the world to study human health, medicine and biology, materials research, Earth science and countless other scientific disciplines. (Visit nasa.gov/iss-research for more info.) Now, we're working with commercial partners on a new generation of space stations, making space more accessible and affordable as we send humans to the Moon and Mars.

Image description: Astronaut Nichole Ayers floats above a large, circular hatch in the International Space Station. She is looking down at the hatch and wearing a crimson long-sleeved shirt; her blond hair floats above her head. The hatch is hinged open to reveal the circular doorway into the station's Kibo laboratory; behind her, the walls of the station are mostly white panels, with a few cords and pieces of hardware.

Credit: NASA

#NASA #Space #Aerospace #Universe #Astronaut #SpaceStation #ISS",608,224304,2025-04-15T19:39:00.000Z,nasa,https://www.instagram.com/p/DIerBbsJ4ZC/
3617897693271528058,Image,DI1WsiZJ5J6,"Hooked on the cosmos 😍 

The Cygnus Loop (also known as the Veil Nebula) is a supernova remnant, left over from a massive stellar explosion that occurred 5,000 to 8,000 years ago. The original supernova would have been bright enough to be seen clearly from Earth with the naked eye. At three degrees across, the Cygnus Loop is as wide as six full moons in the night sky.

This image is a combination of X-ray data from NASA's Chandra X-ray Observatory and optical data by amateur astronomer John Stone — but the @NASAChandraXray team has also just released a new 3D visualization of the Cygnus Loop. It visualizes how the blast wave from the explosion interacts with an isolated cloud of the interstellar medium (that is, dust and gas in between the stars). You can view that 3D model and others like it at nasa.gov/chandra.

Image description: In the composite image, the remnant resembles a wispy cloud in oranges, blues, purples, and whites, shaped like a backwards letter C. The remnant is set against a backdrop of scattered stars.

Credit: X-ray: NASA/SAO/CXC; Optical: John Stone (Astrobin); Image Processing: NASA/SAO/CXC/L. Frattare, N. Wolk

#NASA #Space #Chandra #Telescope #Universe #Supernova",769,367161,2025-04-24T15:03:55.000Z,nasa,https://www.instagram.com/p/DI1WsiZJ5J6/
3610756826499277287,Image,DIb_DP9zmHn,"Take life at your own pace🐢⁣
⁣
Let this tortoise photographed making its way across a @NASAKennedy parking area be your reminder to take things slow. It’s just one of the many kinds of animals – more than 65 amphibian and reptile, 25 mammal, 117 fish, and 330 bird species – that call the Merritt Island National Wildlife Refuge home. The refuge shares space with Kennedy.⁣
⁣
In the background of this photo is the iconic Vehicle Assembly Building (VAB), standing 525 feet (160 meters) tall. This is where the @NASAArtemis launch vehicles are stacked and processed in preparation for future missions to the Moon. Currently, the Artemis II Moon rocket is taking shape inside the VAB.⁣
⁣
Image description: A brown tortoise lifts its front right leg as it walks across gravel, far in front of a large rectangular building. Scales on the tortoise’s legs and sand on its shell are visible. There are a few streets separating the tortoise from the building, which has a massive United States flag and NASA “meatball” logo painted on it, as well as a sign that reads “Launch America.”⁣
⁣
Credit: NASA/Ben Smegelsky⁣
⁣
#NASA #Wildlife #Tortoise #SlowAndSteady #Nature #Animals",1608,615228,2025-04-14T18:36:24.000Z,nasa,https://www.instagram.com/p/DIb_DP9zmHn/
